"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45527536343.5301;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****205";;;;;;;;"23.08.2024 12:52:20";"Programm/Schrittnummer Status des VM ist : 20*****205";
45527536347.7431;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****205";;;;;;;;"23.08.2024 12:52:20";"Programm/Schrittnummer Status des BM ist : 20*****205";
45527536355.1273;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****210";;;;;;;;"23.08.2024 12:52:21";"Programm/Schrittnummer Status des VM ist : 20*****210";
45527536359.4329;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****210";;;;;;;;"23.08.2024 12:52:21";"Programm/Schrittnummer Status des BM ist : 20*****210";
45527536528.8426;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****220";;;;;;;;"23.08.2024 12:52:36";"Programm/Schrittnummer Status des VM ist : 20*****220";
45527536532.963;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****225";;;;;;;;"23.08.2024 12:52:36";"Programm/Schrittnummer Status des BM ist : 20*****225";
45527536540.3356;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****225";;;;;;;;"23.08.2024 12:52:37";"Programm/Schrittnummer Status des VM ist : 20*****225";
45527541556.3426;1;1;3;60000;"Anlagezustand-BM : Belüften  ";;;;;;;;"23.08.2024 12:59:50";"Anlagezustand-BM : Belüften  ";
45527541567.8935;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 50*****505";;;;;;;;"23.08.2024 12:59:51";"Programm/Schrittnummer Status des BM ist : 50*****505";
45527541574.6643;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****505";;;;;;;;"23.08.2024 12:59:52";"Programm/Schrittnummer Status des VM ist : 50*****505";
45527541574.6643;1;1;3;60000;"Anlagezustand-VM : Belüften  ";;;;;;;;"23.08.2024 12:59:52";"Anlagezustand-VM : Belüften  ";
45527541614.1551;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 50*****515";;;;;;;;"23.08.2024 12:59:55";"Programm/Schrittnummer Status des BM ist : 50*****515";
45527541620.8796;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****525";;;;;;;;"23.08.2024 12:59:56";"Programm/Schrittnummer Status des VM ist : 50*****525";
45527541625.9259;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 50*****525";;;;;;;;"23.08.2024 12:59:56";"Programm/Schrittnummer Status des BM ist : 50*****525";
45527543767.0255;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 50*****535";;;;;;;;"23.08.2024 13:03:01";"Programm/Schrittnummer Status des BM ist : 50*****535";
45527543773.4259;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****540";;;;;;;;"23.08.2024 13:03:02";"Programm/Schrittnummer Status des VM ist : 50*****540";
