Zeitstempel;Scheinleistung L1 (VA);Scheinleistung L2 (VA);Scheinleistung L3 (VA);Gesamtscheinleistung (VA)
8974;4929;5937;3731;14600
8975;2284;1552;2927;6763
8976;2251;2518;2831;7600
8977;2780;3591;2238;8609
8978;2563;2710;3549;8821
8979;2461;2909;3113;8483
8980;1730;1838;3026;6595
8981;3657;3227;3603;10490
8982;1830;2958;2012;6800
8983;2030;2818;2283;7131
8984;1396;2463;2292;6152
8985;2816;2602;3487;8905
8986;2776;5580;3807;12160
8987;6209;5649;4441;16300
8988;441.6;1516;1049;3007
8989;4252;4629;5307;14190
8990;2562;2428;2110;7099
8991;2241;714.6;1972;4928
8992;3528;3633;4699;11860
8993;2597;2178;616;5392
8994;2165;2541;3383;8089
8995;2556;3018;907.1;6481
8996;1880;2008;3294;7181
8997;2030;1718;3936;7683
8998;4380;3386;2014;9780
8999;1744;3701;3608;9052
9000;2639;2264;1615;6518
9001;1539;2058;2787;6385
9002;3768;5707;5212;14690
9003;2381;845.7;2140;5366
9004;2400;3962;3249;9611
9005;4712;3369;4330;12410
9006;2574;3514;3238;9326
9007;2196;1370;1489;5055
9008;4035;5009;4925;13970
9009;2310;3014;2169;7493
9010;4411;5601;5233;15250
9011;1991;2459;2259;6709
9012;2692;4996;3782;11470
9013;1978;1365;2397;5740
9014;2741;4139;3245;10130
9015;1008;1046;1052;3105
9016;2226;1978;2965;7169
9017;1804;2842;1193;5840
9018;1295;2678;2390;6364
9019;2671;2171;2004;6846
9020;672.3;1521;933.1;3126
9021;2723;3913;5591;12230
9022;2818;3805;2299;8922
9023;2710;2417;3635;8762
9024;4062;2751;4989;11800
9025;1456;1711;1890;5056
9026;3031;3341;2756;9128
9027;2222;2823;2247;7292
9028;1603;1233;1203;4038
9029;4022;3018;2351;9390
9030;2161;2016;2851;7028
9031;4241;3424;2511;10180
9032;1832;2160;2957;6949
9033;2883;2003;2626;7512
9034;6306;6302;4829;17440
9035;1244;2889;1733;5866
9036;5371;5271;4059;14700
9037;2227;956.5;2129;5312
9038;2861;3546;2802;9209
9039;1720;1013;1254;3986
9040;3349;4772;5868;13990
9041;3785;2724;2320;8829
9042;1877;3464;3294;8635
9043;3004;2773;4003;9780
9044;3652;3134;4467;11250
9045;1341;1339;3290;5970
9046;4493;5302;2908;12700
9047;1961;2710;2743;3506
9048;4305;3589;5905;13800
9049;1680;1937;211;3828
9050;1714;2098;1382;5194
9051;2020;1223;2737;5980
9052;2479;1167;674;4320
9053;2994;4081;3830;10900
9054;1656;1356;799.3;3811
9055;1769;1482;2269;5520
9056;1471;3328;3382;8180
9057;1999;2084;2333;6416
9058;1999;2084;2333;6416
9059;2749;4241;3198;10190
9060;4089;4271;3106;11470
9061;2502;962.6;875.9;4341
9062;2464;2977;3871;9312
9063;4163;3342;2171;9676
9064;2423;2046;2334;6803
9065;2111;1305;3145;6561
9066;5660;4543;4217;14420
9067;2144;2116;2904;7164
9068;3464;3502;3171;10140
9069;2925;1464;1875;6263
9070;2606;3546;4266;10420
9071;4338;3985;2693;11020
9072;1303;2543;2308;6153
9073;3015;2874;3528;9417
9074;1944;1141;1566;4650
9075;2412;3631;2909;8951
9076;4666;3444;5814;13920
9077;2436;2305;2163;6903
9078;4582;3243;5060;12890
9079;1957;3668;2429;8054
9080;2314;2013;2256;6582
9081;1974;4180;4283;10440
9082;639.5;168.6;210.6;1019
9083;1889;917.3;2112;4919
9084;3188;2974;2940;9102
9085;3685;1542;1999;7225
9086;1749;1484;1668;4900
9087;2684;1491;1993;6168
9088;3223;2159;2353;7735
9089;1272;1561;3498;6330
9090;3531;2483;1388;7402
9091;1325;1612;1569;4505
9092;1370;1918;1815;5103
9093;2670;3318;2867;8855
9094;2064;170.5;2481;4715
9095;2172;1195;2978;6345
9096;2897;3360;2421;8677
9097;3350;2702;2419;8471
9098;4426;3974;5365;13760
9099;2597;1486;724.2;4807
9100;3279;3421;4416;11120
9101;3501;1429;2535;7465
9102;4402;6399;4787;15590
9103;2075;906.6;1465;4447
9104;3010;2643;3225;8877
9105;3651;3803;5791;13240
9106;1798;2094;1772;5665
9107;2534;2742;2338;7614
9108;2786;1972;3638;8396
9109;1981;1605;2030;5616
9110;2715;3124;3411;9250
9111;2252;4104;2893;9248
9112;1739;1730;2064;5533
9113;1684;2578;3282;7544
9114;4088;2644;1233;7965
9115;3433;3911;3924;11270
9116;1408;719.6;896.6;3024
9117;2797;4769;3674;11240
9118;3333;2261;1041;4797
9119;3020;2563;3722;9305
9120;3893;3057;1940;8891
9121;3858;1680;3451;8989
9122;3421;1515;2956;7893
9123;2035;3481;2931;8446
9124;2798;2326;3523;8647
9125;1762;574.8;1017;3354
9126;2766;2562;2350;7678
