Zeitstempel;Scheinleistung L1 (VA);Scheinleistung L2 (VA);Scheinleistung L3 (VA);Gesamtscheinleistung (VA)
0;209.9;157.8;202.7;570.4
1;210.1;157.9;203.7;571.8
2;209.5;157.5;203.4;570.4
3;209.3;157.6;203.8;570.7
4;209.4;157.3;204;570.8
5;209.7;157.3;203.5;570.5
6;209.4;157;203.9;570.4
7;209.2;157;203.2;569.4
8;209.4;157.3;350.2;716.9
9;1110;1354;1236;3700
10;1840;1205;723.9;3769
11;1358;1934;2274;5567
12;2234;1398;2477;6109
13;1837;2561;2602;7000
14;1133;2934;3069;7135
15;5635;3124;2847;11610
16;3427;2403;3848;9679
17;4024;3557;4548;12130
18;3096;2794;1573;7464
19;2752;5289;5912;13950
20;5336;4200;2929;12460
21;4992;5386;4571;14950
22;2495;5922;3986;12400
23;5049;5422;5342;15810
24;3538;2933;2116;8587
25;4068;3581;4442;12090
26;3589;6809;4237;14640
27;8767;6625;8098;23490
28;3099;2799;3235;9133
29;7149;6931;5877;19960
30;4877;8251;6005;19130
31;7173;4284;4039;15500
32;7664;9545;9210;26420
33;7091;5291;5592;17970
34;3173;5988;4306;13470
35;7385;6120;8409;21910
36;7640;9599;6407;23650
37;6162;3850;6020;16030
38;10300;11160;11220;32690
39;7703;5576;3666;16950
40;9115;12510;13340;34970
41;4261;4851;3770;12880
42;12330;11420;11330;35080
43;5710;8409;7863;21980
44;14580;9737;10180;34500
45;3636;6339;6920;16900
46;8052;9958;10070;28080
47;8150;6919;6392;21460
48;8873;11110;8493;28480
49;6966;5294;8467;20730
50;9787;10610;8340;28730
51;8537;8966;10750;28260
52;11570;10270;5625;27460
53;6546;8619;9550;24710
54;10930;10840;9136;30910
55;6930;6025;6084;19040
56;12540;12950;12150;37640
57;6821;6087;7214;20120
58;8653;6801;6368;21820
59;11230;10460;12140;33820
60;8795;7879;5061;21740
61;11380;9570;12080;33030
62;8969;9978;10060;29010
63;10850;8182;8185;27210
64;9324;11300;11120;31750
65;10640;9965;7851;28460
66;7002;6514;9084;22600
67;11140;11520;12560;35230
68;8929;7868;6879;23680
69;11550;9404;10540;31490
70;7946;10150;9239;27340
71;12260;6728;7677;26670
72;8041;11040;10310;29390
73;9568;5873;7946;23390
74;10760;11940;9758;32460
75;9361;8680;10860;28910
76;10260;8002;8346;26610
77;7054;8475;7382;22910
78;11090;10990;11130;33210
79;6506;4854;4882;16240
80;13230;10410;13220;36870
81;8701;5199;8131;22030
82;9749;9901;9068;28720
83;8895;7347;9989;26230
84;9382;8952;7308;25640
85;4252;2613;6518;13380
86;11040;12700;11120;34860
87;6961;4074;4137;15170
88;11030;9900;11540;32480
89;5661;4814;5483;15960
90;8399;7546;7473;23420
91;4852;5625;7756;18230
92;8203;6692;5096;19990
93;8990;7989;8329;25310
94;7266;6741;8812;22820
95;9251;5378;6075;20700
96;9120;8217;7733;25070
97;6384;6707;7676;20770
98;7068;4255;3707;15030
99;8753;8389;9894;27040
100;5777;5668;5323;16770
101;8971;6957;7314;23240
102;4140;4184;4408;12730
103;7796;6339;7803;21940
104;5889;4502;4117;14510
105;7870;6579;7115;21560
106;6859;5116;3573;15550
107;6634;4471;8438;19540
108;7115;6974;6788;20880
109;5012;2347;1786;9145
110;5595;7391;8642;21630
111;5737;2651;2951;11340
112;5591;4439;6043;16070
113;5193;3471;3793;12460
114;6777;5201;5304;17280
115;3442;1672;2314;7427
116;5308;5782;6960;18050
117;4305;1254;1241;6801
118;6665;8489;9113;24270
119;4362;164.6;1536;6063
120;5788;5523;5233;16540
121;4573;1516;4945;11030
122;3486;4821;3957;12260
123;5881;2672;4779;13330
124;4406;4071;3231;11710
125;2947;1433;3034;7414
126;5233;5114;4046;14390
127;5105;4339;4640;14080
128;4580;1493;3242;9315
129;4524;5205;6113;15840
130;4612;1344;2851;8807
131;4059;3149;3795;11000
132;3742;2495;3194;9430
133;4974;3584;3901;12460
134;1597;2344;3063;7004
135;6828;4395;5343;16570
136;2768;1149;209.8;4127
137;4915;4647;6171;15730
138;2808;1350;1274;5433
139;1845;668.4;937;3451
140;4674;2769;3646;11090
141;748.5;1038;213.1;2000
142;4310;1900;2565;8775
143;1158;162.8;771.3;2092
144;3376;1698;2119;7193
145;2358;1627;2502;6488
146;3000;1485;2997;7483
147;2957;2238;1510;6705
148;2033;1793;2992;6818
149;1938;1088;1190;3643
150;3094;2007;2854;7954
151;1235;1756;1570;4562
152;3512;2708;2493;8713
153;1108;162.7;2028;3299
154;2724;1934;1800;6458
155;1442;270.9;1276;2989
156;1025;754.8;2201;3980
157;3521;1453;1553;6527
158;862.2;1130;704.1;2697
159;4344;1805;1857;8006
160;216.3;161;1347;1725
161;3930;2210;2461;8600
162;1790;1444;893.9;4127
163;2189;2426;2125;6741
164;1943;1180;2293;5416
165;2343;1520;2051;5915
166;2421;352.5;701.4;3475
167;3172;1544;2314;7030
168;721.7;1468;765.1;2954
169;1818;2360;2522;6700
170;215.3;161.1;205.2;581.6
171;2783;2465;2014;7262
172;752.2;2390;206.8;3349
173;3103;676;631.9;4411
174;215.6;1243;692.7;2151
175;1079;1352;1555;3986
176;755.5;163;205.5;1124
177;215.7;1078;205.4;1499
178;1986;1010;909.1;3906
179;948.2;1164;924.2;3037
180;1599;1222;1288;4110
181;650.5;1054;1070;2775
182;1906;163.3;894.8;2964
183;2666;1163;1177;5006
184;1743;2150;1456;5349
185;1609;585.3;905.5;3100
186;1895;2043;2053;5992
187;931.1;852.4;205.4;1989
188;1561;1570;641.1;3772
189;1388;973.5;895.2;3257
190;3291;1212;1910;6413
191;214.6;2043;1524;3782
192;1955;1910;1968;5833
193;214;680;205.5;1099
194;546;753.1;205.7;1505
195;214;751.7;1736;2702
196;2092;2397;2306;6795
197;1887;987.5;1067;3941
198;945.3;1096;1362;3404
199;1915;2193;2042;6150
200;752.7;661.5;894.1;2308
201;1282;2066;1645;4992
202;1764;1357;1263;4384
203;2081;1549;1919;5548
204;1732;1478;1292;4501
205;1630;1529;1306;4465
206;215.9;1284;1570;3070
207;652.2;822.7;750.9;2226
208;751.7;1003;207.1;1962
209;3664;1497;4582;9743
210;1226;2190;1178;4594
211;1856;763.1;629.6;3249
212;215.3;1348;1690;3253
213;2220;2739;994.2;5953
214;1695;1830;2170;5695
215;215.7;1010;1242;2468
216;1920;1925;1890;5735
217;479.4;1263;1990;3732
218;1352;1627;2109;5088
219;901.7;1390;206.5;2498
220;2050;2356;3627;8034
221;2226;647.4;1227;4100
222;1784;2510;2405;6699
223;1461;2290;2917;6668
224;215.6;1050;204.8;1471
225;1739;3074;2213;7026
226;5196;1878;4308;11380
227;2079;2104;2055;6238
228;2835;2170;1626;6631
229;2984;1798;972.4;5754
230;724.4;1125;1234;3083
231;477.3;2039;3347;5863
232;2853;1278;206.1;4337
233;1290;2538;3771;7599
234;2620;2649;3054;8322
235;1707;1611;1730;5048
236;1425;2985;2171;6581
237;1812;3084;2078;6974
238;1617;1283;3685;6585
239;1669;1253;2173;5095
240;2399;2668;1206;6272
241;2760;3461;3469;9689
242;947.5;1576;2302;4825
243;1099;1104;732.4;2936
244;1594;2052;3208;6855
245;2315;2766;2619;7701
246;1897;1505;1623;5026
247;2382;1340;1934;5656
248;664.4;1855;1071;3590
249;2715;3016;3178;8910
250;1689;815.5;1687;4191
251;2448;1630;2468;6545
252;1979;2531;2395;10800
253;3230;2425;1360;7015
254;2833;1963;1616;6412
255;1461;1956;2829;6247
256;2345;1699;2050;6094
257;2257;3188;4119;9563
258;4067;3636;3072;10770
259;1872;1843;2003;5717
260;1671;1814;3632;7117
261;2703;2734;1572;7009
262;2674;3215;4640;10530
263;943.7;512;968.9;2425
264;1224;655.1;1378;3257
265;2283;2528;1844;6655
266;1062;1693;2679;5434
267;1094;1867;864.5;3825
268;2100;1724;3553;7377
269;1942;2181;2556;6679
270;2916;2319;1378;6613
271;1632;1981;2011;5625
272;1740;951.1;1097;3788
273;1671;2830;3031;7533
274;2563;1348;1946;5857
275;2495;2557;2580;7632
276;2354;3076;5054;10480
277;3807;3453;2168;9428
278;1383;162.6;583.7;2130
279;3024;3996;6111;13130
280;2604;3069;948.3;6622
281;5098;4008;6754;15860
282;1843;1347;1569;4760
283;2729;2643;2792;8164
284;521.9;2301;2494;5317
285;2990;1611;2136;6737
286;1126;2161;4057;7345
287;214.7;2950;4088;7253
288;2373;1839;3058;7270
289;3353;3682;1281;8316
290;2578;2511;3261;8350
291;1397;1253;1517;4167
292;3411;3534;3431;10380
293;2199;3197;2086;7482
294;3270;2799;3816;9885
295;1968;1778;1763;5509
296;1844;2127;2685;6655
297;2347;2617;4030;8995
298;1922;3597;3341;8861
299;1281;1223;205.6;2709
300;2298;1607;3593;7497
301;3572;3499;3135;10210
302;1353;1287;499.7;3140
303;746.8;2206;2721;5674
304;2094;1313;1332;4740
305;2527;3105;2599;8231
306;1647;949.1;2547;5143
307;1577;1485;1065;4127
308;1818;1763;3200;6781
309;2059;1075;204.1;3338
310;1719;1939;206;3864
311;2873;3956;6232;13060
312;1796;1143;1131;4069
313;5298;5189;4104;14590
314;1505;1059;1693;4257
315;4461;3928;5465;13850
316;1894;1877;2955;6726
317;3807;2741;4055;10600
318;2472;2316;1257;6046
319;3019;2524;3146;8689
320;1683;1016;1175;3873
321;980.4;1269;552.4;2802
322;2872;1256;3376;7505
323;1170;1531;1089;3789
324;2826;2374;4506;9705
325;3644;3493;2011;9148
326;1673;1189;1680;4542
327;218.7;2849;2577;5644
328;1847;1567;1500;4914
329;1996;2798;3333;8127
330;2604;1904;2653;7161
331;2184;853.4;440.9;3479
332;2399;3726;5554;11680
333;1321;2000;1929;5250
334;2627;2306;1916;6848
335;544.9;2852;3614;7011
336;4293;2112;2467;8871
337;3018;2585;2218;7820
338;1862;1397;1999;5258
339;1469;1542;1099;4110
340;2027;1885;3162;7075
341;1779;984;208.2;2971
342;2706;2280;3710;8695
343;952.5;818.7;872.8;2644
344;988.9;889.1;1102;2980
345;4907;3227;3590;11720
346;1230;1514;2193;4937
347;3449;4052;4138;11640
348;1476;2331;1359;5166
349;5274;4521;4861;14660
350;812.5;1112;1071;2996
351;2469;3231;5060;10760
352;1645;1180;521.4;3347
353;4911;4483;4235;13630
354;2548;1060;2525;6133
355;2453;3010;220.4;5684
356;1773;376.8;2748;4898
357;738.6;2359;1720;4817
358;1913;1875;1256;5044
359;1258;3503;3276;8037
360;4468;680.2;1666;6814
361;1323;3014;1980;6316
362;1623;1295;839.1;3756
363;216.4;1597;803.8;2617
364;2809;2492;3395;8695
365;2201;1581;211.7;3994
366;1764;2729;2210;6702
367;3569;3651;3634;10850
368;3715;2713;4136;10560
369;1281;2008;1149;4438
370;2815;2350;2881;8047
371;1134;3046;1528;5708
372;4040;3482;6032;13550
373;2068;2837;973.7;5879
374;2269;2067;3277;7612
375;1143;1923;2671;5737
376;3913;2894;2842;9648
377;2795;2438;2702;7935
378;217.6;684.6;2566;3468
379;3616;4221;3556;11390
380;1413;834.7;1003;3250
381;1413;834.7;1003;3250
382;1262;1881;969.1;4111
383;1262;1881;969.1;4111
384;2677;3299;3205;9182
385;1294;168.5;897.1;2360
386;5379;4741;4348;14470
387;342;967.4;1016;2325
388;2907;3213;2557;8677
389;1975;3711;3207;8893
390;2425;2767;2865;8057
391;849.3;167.7;208.9;1226
392;3650;3566;2863;10080
393;1356;520.9;1576;3453
394;888.2;2104;1679;4671
395;1998;2052;2449;6499
396;212.8;1749;581.6;2543
397;3417;2509;3183;9109
398;2258;2561;211;5030
399;834.3;1072;1859;3765
400;306.1;2448;1301;4055
401;2509;1921;1287;5717
402;1650;1564;1670;4884
403;2657;2212;3967;8836
404;3864;3181;1348;8393
405;2377;3363;3516;9257
406;1868;1892;1610;5370
407;4035;3893;2971;10900
408;218.5;1690;2887;4795
409;3703;1899;2696;8298
410;1629;3047;1458;6135
411;2038;2841;3550;8429
412;266.7;337.5;209;813.1
413;3570;4483;815.9;2951
414;849.6;954;874.5;2678
415;849.6;954;874.5;2678
416;4973;4370;2953;12300
417;217.6;764.7;1057;2039
418;562;1557;1100;3219
419;1302;2311;1321;4934
420;601.3;1656;1082;3340
421;1513;1736;2958;6207
422;3525;1901;2872;8298
423;1303;1305;357.5;2965
424;2806;3430;3380;9616
425;838.7;1517;1431;3787
426;2766;2378;1264;6408
427;218.6;1651;1714;3584
428;3473;4301;3980;11750
429;2676;1489;2238;6403
430;1745;1243;1805;4793
431;1586;1744;1367;4697
432;1365;2760;2726;6851
433;3485;1771;902.1;6158
434;2333;1406;1925;5664
435;236.9;832.7;2066;3135
436;902.9;1675;210.2;2788
437;1292;2456;2383;6132
438;1806;2889;2430;7124
439;1063;2156;2498;5716
440;3888;2548;1440;7876
441;2592;2318;3224;8134
442;566.4;2172;1303;4042
443;2686;3053;4174;9914
444;216.6;885;209.7;1311
445;4888;4692;4471;14050
446;1283;3224;514;5021
447;2623;2663;2266;7552
448;1957;1522;1042;4521
449;1033;1195;861.9;3090
450;1018;1633;1043;3693
451;1580;2119;2049;5748
452;3605;1879;977.9;6462
453;1042;1089;1943;4073
454;683.4;1253;237.2;2173
455;2248;1789;1260;5297
456;801.9;3018;2671;6491
457;2737;1988;927.1;5652
458;2189;2501;2184;6875
459;559.3;1401;1102;3062
460;1869;3586;4023;9479
461;504.1;810.8;230.9;1546
462;1476;2178;3285;6938
463;906.3;1764;1522;4193
464;4586;5509;4210;14310
465;2379;891.3;1853;5123
466;2979;1122;1865;5965
467;2005;3253;2213;7472
468;1316;2239;1350;4905
469;3487;2406;4106;9999
470;3570;3107;2367;9044
471;2524;2450;2226;7200
472;2435;2524;2854;7814
473;2348;976.6;1224;4548
474;2171;1300;1795;5266
475;997.3;2278;3192;6467
476;2715;1749;2021;6485
477;3399;2609;3155;9163
478;770;1242;251.8;2264
479;3013;3141;1943;8097
480;523.3;3534;2717;6775
481;2327;2723;2560;7610
482;2130;1205;1361;4697
483;1890;2609;2922;7421
484;1318;753.8;1484;3556
485;1703;1988;1348;5039
486;986;2148;1542;4676
487;214.8;170.2;995.2;1380
488;2973;1594;2602;7170
489;2512;2252;1314;6079
490;521.2;1511;281.1;2313
491;2641;2388;1606;6635
492;749.8;494.4;999.3;2244
493;2010;1260;2195;5465
494;825.7;2341;4262;7428
495;2871;2568;749.1;6188
496;3342;1769;2690;7802
497;1118;850.8;884.9;2854
498;2007;2607;2564;7178
499;1796;1861;2812;6469
500;3529;3513;2266;9309
501;2212;497.6;1553;4263
502;1565;2941;2383;6888
503;1317;1235;1254;3806
504;1716;2159;2302;6177
505;2818;1066;2619;4814
506;780.6;170.5;1361;2312
507;1993;1907;3020;6920
508;1677;1524;1912;5113
509;790.2;1661;890;3341
510;1213;2121;2167;5502
511;1437;1882;1461;4780
512;4453;3261;4783;12500
513;1138;1835;1340;4313
514;1195;1239;338.4;2773
515;1862;2904;1718;6484
516;1149;1213;1142;3503
517;2420;2266;2320;7006
518;1273;1416;209.1;2898
519;3447;1800;3299;8546
520;2321;1954;1476;5751
521;997.1;1461;1492;3950
522;1433;717.6;210.3;2361
523;1323;2139;3225;6687
524;2051;1044;209.7;3304
525;1449;1422;2660;5532
526;214.5;1968;1068;3250
527;1838;1298;987.9;4124
528;522.7;1577;2457;4556
529;215.6;1844;2128;4187
530;1646;2421;2140;6208
531;1626;2531;3854;8011
532;2556;1632;1975;6164
533;1453;1254;1223;3930
534;2211;3469;4656;10330
535;1429;168.4;1224;2822
536;2865;4360;2529;9754
537;3215;2227;2982;8424
538;1773;1921;2673;6367
539;1272;1972;1926;5171
540;1288;887.7;207.7;2384
541;1012;899.7;1045;2957
542;218.7;1671;1371;3260
543;2975;1565;1159;5699
544;2319;1071;1806;5196
545;1140;1035;207.5;2382
546;1289;1134;1252;3675
547;273.3;1225;2115;3613
548;2749;2358;1399;6506
549;1372;1101;1304;3777
550;880.2;1755;852.7;3488
551;1278;1810;3153;8013
552;867.8;1972;770.8;3610
553;2438;2126;3328;7892
554;216.3;166.5;206.9;589.7
555;4120;4718;5573;14410
556;1297;640.6;967.2;2905
557;2815;2521;3145;8481
558;1267;1924;2384;5575
559;1246;1640;2233;5120
560;2363;2816;554.4;5734
561;2156;1628;2288;6072
562;215.4;1400;207.2;1823
563;1276;892.7;588.5;2757
564;3524;1704;2004;7231
565;415.5;1239;895.1;2549
566;2276;2806;3244;8325
567;1751;968.9;2184;4904
568;1911;1235;2431;5577
569;729.7;2022;768.9;3520
570;2941;2247;2046;7234
571;745.9;762.7;2368;3876
572;2433;3880;3096;9409
573;1837;638.2;1306;3781
574;2155;1363;1560;5078
575;1037;653.2;1081;2772
576;1651;1164;770.4;3585
577;664.2;1267;1532;3463
578;733.1;315.7;210.1;1259
579;3479;2278;2447;8204
580;1842;724.2;2093;4659
581;1484;1632;207.5;3323
582;1321;2114;1607;5042
583;768.4;950.2;808.6;2527
584;2461;3707;4007;10170
585;936.3;1586;205.4;2728
586;1002;534;377.4;1913
587;4155;2417;3614;10190
588;1035;750;207.2;1992
589;2884;2539;4405;9828
590;215.6;1682;2146;4043
591;3048;2494;2821;8363
592;214.7;976.4;1469;2660
593;2305;2220;2043;6568
594;821.2;1978;667;3467
595;2836;2797;4063;9697
596;4177;3042;2233;9452
597;1847;2003;1999;3430
598;216.7;937.4;3900;5054
599;1960;1147;1783;4890
600;1581;750;207.8;2539
601;1193;1950;3068;6211
602;1108;170.4;723;2001
603;2143;2166;3200;7509
604;2082;1759;1324;5165
605;713;1250;206.5;2169
606;2415;3047;3380;8842
607;500.4;1238;893.8;2633
608;2966;2774;2326;8066
609;1192;1181;2536;4909
610;3379;1073;1974;6426
611;933.3;1498;1478;3909
612;1761;1718;708.1;4187
613;987.4;433.8;206.8;1628
614;964.6;1654;2469;5088
615;2250;1974;640.4;4865
616;1785;1723;2417;5925
617;710.4;520.4;206.1;1437
618;1206;2175;2182;5563
619;1033;1385;702.5;3120
620;4023;2737;2022;8782
621;3034;3112;2121;8267
622;879.4;1937;2199;5015
623;2914;2321;3643;8878
624;1261;1049;208.2;2518
625;3421;2668;3460;9548
626;210.1;168.2;206.7;585
627;4986;2984;3504;11470
628;400.1;2412;2378;5190
629;1716;1587;2800;6103
630;1513;1795;2245;5552
631;2147;1721;1211;5079
632;1062;509.4;1516;3087
633;1910;1700;3609;7218
634;1542;1131;852;3524
635;1375;1237;1076;3688
636;1261;169.1;1322;2753
637;337.5;554.6;206.2;1098
638;766.5;2468;528;3763
639;1777;1458;1715;4950
640;1270;1725;1602;4597
641;899.6;815.1;206.8;1921
642;2298;2089;1987;6374
643;786.6;1433;2386;4605
644;1757;893.9;2531;5182
645;2176;1614;1222;5012
646;3502;5041;5457;14000
647;516.2;1009;506.8;2032
648;3447;1454;1853;6753
649;217.1;1570;1837;3623
650;1970;2249;2367;6586
651;1188;1770;2420;5378
652;1617;2418;2545;6579
653;515.9;1163;769.7;2449
654;2359;2460;2276;7095
655;1508;1720;2075;5303
656;605.8;1201;207.1;2014
657;1874;2960;3379;8213
658;2559;169.3;921.5;3650
659;2037;2290;2715;7042
660;1659;1320;1095;4074
661;2491;1226;2343;6060
662;217.4;2157;3552;5927
663;3645;3621;2154;9420
664;2051;1515;1438;5005
665;1883;718.5;2114;4715
666;878.6;828.2;441.9;2149
667;1429;1314;1120;3863
668;754.5;1937;2936;5628
669;2540;1029;206.8;3775
670;1608;1876;2431;5916
671;1029;1000;207.3;2237
672;1961;1293;1158;4412
673;781.9;2265;2075;5122
674;215.8;1806;1417;3439
675;2144;1619;2305;6068
676;733.9;1411;1436;3581
677;215.2;1171;218.6;1605
678;1983;3047;2760;7790
679;215.5;976.2;1152;2344
680;1605;1755;2040;5400
681;1229;1919;2364;5512
682;3587;1469;2136;7192
683;214.7;511.3;366.3;1092
684;2843;2966;2423;8232
685;497.2;1543;766.7;2807
686;4348;4098;4476;12920
687;1502;987.4;959.8;3449
688;2781;528.1;2424;5733
689;521.8;168.3;345.3;1035
690;2068;1233;1354;4655
691;520.4;169.9;452.1;1142
692;1011;1811;2184;5006
693;2025;1371;1789;5185
694;1096;716;2456;4268
695;2081;1451;1252;4783
696;1455;1815;935.7;4206
697;1308;1405;2425;5137
698;787;1461;1390;3638
699;4361;3400;3765;11530
700;216;683.5;206.5;1106
701;994.6;1682;1291;3967
702;1954;436.6;2061;4452
703;1273;2156;1883;5312
704;216.4;169.7;207.8;593.9
705;558.7;1348;1057;2964
706;2307;1414;1947;5667
707;1694;878.5;1913;4485
708;1434;1284;1357;4076
709;803.9;926.7;1045;2776
710;216.3;168.7;703.6;1089
711;2499;754.9;208;3462
712;399;1638;208;3462
713;4414;1639;1271;7324
714;2193;2746;3672;8611
715;1010;194.4;770.8;1975
716;1973;2718;2226;6917
717;1482;1426;863;3771
718;1914;2339;4569;8822
719;1322;524.1;972;2818
720;3308;4097;1612;9017
721;451.8;726.8;2125;3304
722;1031;1492;2462;4985
723;2229;1625;2324;6177
724;3483;1973;2511;5498
725;1580;1530;1359;4468
726;1580;1322;207.3;3109
727;218.2;1014;1144;2376
728;949;753.7;206.9;1910
729;1777;3583;1413;6772
730;2914;1060;1256;5230
731;218.2;1204;2532;3954
732;2242;230.8;533.1;3006
733;1405;955.9;315.7;2677
734;912.9;1047;1666;3625
735;1473;1122;2071;4665
736;2073;757.8;900.1;3731
737;3098;2494;3561;9154
738;1107;1342;2612;5061
739;2155;1105;658.4;3918
740;1805;1702;2019;5526
741;2341;2765;2523;7628
742;2811;1705;3167;7683
743;890.8;668.5;1009;2569
744;989.2;1246;1322;3557
745;606.2;1621;3344;5571
746;502.2;426.6;207.2;1136
747;3293;2241;2631;8164
748;2292;2711;3566;8568
749;1958;1649;1182;4788
750;3533;1491;2327;7351
751;1371;935.7;764.4;3072
752;965.7;3481;2834;7281
753;1917;1083;2096;5096
754;2271;1589;2203;6063
755;1146;684.5;1074;2904
756;2075;1610;2499;6183
757;1247;638.6;760.3;2646
758;2224;3518;3684;9426
759;1044;1298;1003;3345
760;1284;1486;441;3212
761;750.9;1874;2210;4835
762;2006;1621;901.1;4528
763;217.3;722;234.7;1174
764;526.9;2183;1161;3871
765;1019;1267;1302;3588
766;1725;989.3;3365;6079
767;217.1;508.5;899.8;1625
768;1253;759;218.8;2231
769;1519;2349;3762;7631
770;1012;171.2;206.8;1390
771;1380;2482;2248;6111
772;2250;1659;2891;6801
773;2020;1899;2439;6358
774;2152;886.3;2999;6037
775;1059;1928;1997;4983
776;1387;1394;207.2;2988
777;2988;2987;2890;8865
778;3059;522.4;1259;4841
779;1312;2682;2375;6369
780;753.5;1060;206.8;2020
781;2258;2788;1742;6787
782;1142;169.7;205.7;1517
783;426.3;2175;1605;4207
784;3021;1933;1680;6634
785;2210;1522;2478;6210
786;1384;1591;1633;4608
787;217;169.1;1054;1440
788;1503;1697;2528;5728
789;1189;756.7;207.3;2153
790;1845;2070;2657;6572
791;1308;890.2;207.3;2406
792;1953;954.8;1180;4088
793;828.4;1113;1404;4387
794;976.9;1377;1278;3633
795;937.7;1518;207.4;2663
796;1346;2362;1711;5419
797;2533;748;207.6;3488
798;1839;1684;1166;4689
799;1036;1242;206.4;2485
800;218.7;984.8;323.6;1527
801;1393;2023;2578;5993
802;1685;930.9;971.3;3588
803;1045;1339;1721;4105
804;1411;1182;1065;3658
805;2859;3186;2144;8189
806;217.6;1037;941.4;2196
807;1460;2230;3371;7062
808;1963;1205;1226;4395
809;2632;1951;2330;6913
810;1165;1167;1067;3399
811;1274;1751;2040;5064
812;520.3;1022;1308;2851
813;1257;2945;2527;6729
814;3862;1908;2238;8008
815;3258;1594;1660;6512
816;1698;1436;753.7;4282
817;2395;2042;1875;6311
818;219;1058;740.9;2018
819;216.5;721;1141;2078
820;2213;1735;2147;6094
821;1913;1237;2032;5181
822;878.8;955.7;846.7;2681
823;217.4;167.4;207;591.8
824;500.1;167.7;206.6;874.4
825;1768;2266;724.7;4759
826;1009;539.1;972.4;2520
827;1507;915.2;2008;4430
828;4000;1807;2833;8639
829;2060;1080;1433;4572
830;2209;2847;2882;7938
831;216.3;1391;760.6;2368
832;2451;1874;2617;6942
833;1972;1811;2591;6374
834;1131;2294;1292;4717
835;1102;700.1;206.7;2009
836;1246;1719;3222;6186
837;2251;1135;894.6;4280
838;1951;1719;1261;4931
839;1573;1911;2555;6039
840;886.1;969.8;898.6;2755
841;2714;3460;1319;7493
842;1219;1138;897.6;3254
843;1822;1866;901.9;4591
844;1426;877;2693;4996
845;2494;1496;1989;5979
846;2071;1936;2122;6129
847;1274;2535;3061;6870
848;749.5;168.4;895.5;1813
849;2430;4070;3135;9635
850;1124;1987;1808;4919
851;1391;168.5;764.5;2323
852;2006;2716;720.4;5442
853;1990;1583;1995;5569
854;821.2;1179;1042;3042
855;216.9;2197;1066;3480
856;1275;749.3;206.7;2231
857;2661;934.9;3393;6988
858;1595;597.5;205.4;2398
859;897.2;753.2;895.6;2546
860;1118;1413;1196;3727
861;1054;1513;810.5;3377
862;3606;1726;3568;8900
863;217.9;1316;1283;2817
864;3913;1913;2207;8033
865;1622;1514;206.6;3343
866;2322;1055;2540;5916
867;217.1;1469;902;2588
868;2044;2768;2396;7209
869;2029;1124;1441;4594
870;2517;2526;2155;7198
871;877.8;1390;1018;3286
872;1579;2428;2042;6049
873;1366;1949;1792;5106
874;1619;1775;1416;4811
875;514.9;2250;796.4;3561
876;2003;611.3;1831;4445
877;1050;2322;590.8;3963
878;216.7;168.4;768.8;1154
879;1493;2124;2008;5624
880;743;716;861.4;2321
881;2973;3746;2999;9718
882;2339;447.1;1825;4612
883;1919;1313;1443;4675
884;217.4;1078;1750;3046
885;294.4;1472;922.8;2689
886;2009;1682;1242;4934
887;1152;979.7;1382;3513
888;1233;437.8;206.4;1878
889;3488;3280;2369;9137
890;524.6;167.7;206.2;898.5
891;1348;2526;1574;5448
892;504.6;1563;2861;4928
893;2487;1248;1967;5702
894;1199;1476;1016;3691
895;226.8;895;1394;2516
896;505.2;169.5;206.9;881.6
897;218.3;1336;206.6;1761
898;2066;1822;2575;6463
899;217.5;1017;207.6;1442
900;2280;2223;3151;7654
901;1663;1295;411.6;3369
902;1878;1745;1892;5515
903;217.7;1869;892.6;2979
904;2764;1246;1215;5225
905;1908;2615;5042;9565
906;3524;2037;2429;7990
907;216.7;564;206.9;987.6
908;2199;905;1622;4726
909;890.3;1886;206.8;2983
910;1590;1728;734.7;4053
911;217.8;512.4;1302;2032
912;1636;885.8;206.6;2728
913;2085;3603;1088;6777
914;216.5;168.3;206;590.8
915;553.2;1056;1253;2863
916;1231;1442;2106;4778
917;1052;1950;452.9;3455
918;1732;1084;2562;5378
919;482.1;428.1;773.9;12670
920;749.9;962.2;206.8;1919
921;1389;2718;2266;6373
922;1382;1391;593.7;3367
923;1180;1756;1953;4889
924;218;1567;2487;4272
925;3348;3030;2116;8493
926;429.8;718.4;208.3;1356
927;2589;2059;3467;8115
928;1119;698.5;207.1;2025
929;2768;1876;3032;7676
930;998.3;1913;1071;3982
931;3189;956.9;976.3;5123
932;725.2;1818;2239;4783
933;747.7;1325;207.2;2280
934;3396;1868;2140;7404
935;1397;2029;1424;4851
936;931.1;1068;2874;4873
937;947;2348;646.3;3941
938;1853;1140;2028;5021
939;963.8;1793;1093;3850
940;1554;1607;2229;5389
941;2033;1073;1094;4201
942;216.3;1192;1438;2847
943;2441;2229;2651;7321
944;1060;960.5;971.4;2991
945;301.9;1737;1434;3474
946;927.7;908.5;2158;3994
947;917.5;885.1;897.1;2700
948;947.3;2312;1070;4329
949;2098;2400;1614;6112
950;1032;521.8;208.2;1762
951;626.8;2543;207.7;3377
952;2428;1026;1497;4951
953;213;793.4;2965;3972
954;1117;1499;1455;4070
955;3121;2193;2481;7794
956;1607;1254;213.2;3074
957;1927;1044;2096;5068
